職位名稱,公司名稱,工作經歷,公司連結,職位連結,asp.net,c#,visual studio .net,winform,ms sql,html,javascript,xml,jquery,systems analysis,github,java,python,go,scala,data modeling,r,mysql,tableau,power bi,sas,spss,excel,powerpoint,linux,hadoop,aws,etl,olap,oracle,postgresql,data architect,data marts,hive,informatica,pl/sql,rdbms,microstrategy,teradata,mac/macintosh,c++,access,toad,word,windows nt,google analytics,c,tcp/ip,ansi sql,database management,node.js,google data studio,outlook,php,web master/developer,vba,matlab,adobe acrobat,中文打字20~50,英文打字20~50,cognos
電子商務商品活動企劃專員,松果購物股份有限公司,1年以上,https://www.104.com.tw/company/1a2x6bkll8,https://www.104.com.tw/job/6c7s8?jobsource=jolist_b_relevance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Digital Marketing Manager 數位行銷經理,集創立科技有限公司,3年以上,https://www.104.com.tw/company/1a2x6bjztl,https://www.104.com.tw/job/6u9vi?jobsource=jolist_b_relevance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Backend Development / 後端工程師,瑞嘉軟體科技股份有限公司,不拘,https://www.104.com.tw/company/bjl4o88,https://www.104.com.tw/job/4ozef?jobsource=jolist_b_relevance,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Scientist,巨量移動科技有限公司,不拘,https://www.104.com.tw/company/1a2x6bl88w,https://www.104.com.tw/job/6ylyi?jobsource=jolist_b_relevance,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Engineer,Viscovery_創意引晴股份有限公司,不拘,https://www.104.com.tw/company/d9c4h00,https://www.104.com.tw/job/6igsd?jobsource=jolist_b_relevance,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Scientist,聯齊科技股份有限公司,4年以上,https://www.104.com.tw/company/1a2x6bj0bj,https://www.104.com.tw/job/6xdur?jobsource=jolist_b_relevance,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Scientist,美商鄧白氏股份有限公司台灣分公司,5年以上,https://www.104.com.tw/company/13tl34jk,https://www.104.com.tw/job/6y20c?jobsource=jolist_b_relevance,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 Lead Data Manager,PRA Health Sciences_保瑞爾生技股份有限公司,不拘,https://www.104.com.tw/company/1a2x6bjng1,https://www.104.com.tw/job/6xfjk?jobsource=jolist_b_relevance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(Senior) Clinical Data Coordinator (Data Management),PRA Health Sciences_保瑞爾生技股份有限公司,不拘,https://www.104.com.tw/company/1a2x6bjng1,https://www.104.com.tw/job/6tg2v?jobsource=jolist_b_relevance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senior Python Data Backend Engineer,伊諾科技有限公司,4年以上,https://www.104.com.tw/company/1a2x6bkxph,https://www.104.com.tw/job/6qwx5?jobsource=jolist_b_relevance,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[KKStream] Data Engineer,願境網訊股份有限公司_KKBOX,不拘,https://www.104.com.tw/company/wca2vdk,https://www.104.com.tw/job/630wy?jobsource=jolist_b_relevance,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[台北] Data Engineer,英商引達取有限公司台灣分公司,2年以上,https://www.104.com.tw/company/1a2x6bkz0n,https://www.104.com.tw/job/6pki0?jobsource=jolist_b_relevance,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Engineer(B216),精誠資訊股份有限公司,2年以上,https://www.104.com.tw/company/18pcqfps,https://www.104.com.tw/job/6pnzh?jobsource=jolist_b_relevance,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
數據工程師 Data Engineer,Shopline Limited_商線科技股份有限公司,2年以上,https://www.104.com.tw/company/1a2x6bj96b,https://www.104.com.tw/job/5erto?jobsource=jolist_b_relevance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Specialist,美商法里亞有限公司臺灣分公司,1年以上,https://www.104.com.tw/company/1a2x6bipu5,https://www.104.com.tw/job/6iz90?jobsource=jolist_b_relevance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Analyst,塞特科技股份有限公司,不拘,https://www.104.com.tw/company/1a2x6bkwfb,https://www.104.com.tw/job/6ptoy?jobsource=jolist_b_relevance,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Scientist,Advantech_研華股份有限公司,3年以上,https://www.104.com.tw/company/2d9ntmw,https://www.104.com.tw/job/6nm7o?jobsource=jolist_b_relevance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Analyst,台灣西思艾軟體股份有限公司,不拘,https://www.104.com.tw/company/1a2x6bjxay,https://www.104.com.tw/job/6kw77?jobsource=jolist_b_relevance,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Analyst,Nogle Taiwan Limited_諾傑股份有限公司,1年以上,https://www.104.com.tw/company/1a2x6bj7rm,https://www.104.com.tw/job/6ilwc?jobsource=jolist_b_relevance,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Analysis Engineer,台灣資信有限公司,1年以上,https://www.104.com.tw/company/1a2x6bkg7j,https://www.104.com.tw/job/6i155?jobsource=jolist_b_relevance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senior Java/Scala Data Backend Engineer,伊諾科技有限公司,4年以上,https://www.104.com.tw/company/1a2x6bkxph,https://www.104.com.tw/job/6qwxd?jobsource=jolist_b_relevance,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shopee APP - Data Engineer 數據工程師,樂購蝦皮股份有限公司,1年以上,https://www.104.com.tw/company/1a2x6bjhar,https://www.104.com.tw/job/6yd5c?jobsource=jolist_b_relevance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Analyst / 資料分析師,瑞嘉軟體科技股份有限公司,不拘,https://www.104.com.tw/company/bjl4o88,https://www.104.com.tw/job/6toi3?jobsource=jolist_b_relevance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Engineer / 資料工程師,瑞嘉軟體科技股份有限公司,不拘,https://www.104.com.tw/company/bjl4o88,https://www.104.com.tw/job/5jh6a?jobsource=jolist_b_relevance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Analyst,康翔科技股份有限公司,2年以上,https://www.104.com.tw/company/d80h020,https://www.104.com.tw/job/6wjkq?jobsource=jolist_b_relevance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
數據工程師 Data Engineer,英屬開曼群島商慧康生活科技股份有限公司台灣分公司,不拘,https://www.104.com.tw/company/1a2x6biv7v,https://www.104.com.tw/job/6r7bw?jobsource=jolist_b_relevance,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
【ADAS Project】數據科學家/數據工程師 Data Scientist/Data Engineer,Morgan Philips Hong Kong Limited Taiwan Branch_香港商博禹國際顧問有限公司台灣分公司,5年以上,https://www.104.com.tw/company/cttnq60,https://www.104.com.tw/job/6xnwd?jobsource=jolist_b_relevance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senior Data Analyst,立智科技股份有限公司,不拘,https://www.104.com.tw/company/1a2x6bl2ws,https://www.104.com.tw/job/6ybhb?jobsource=jolist_b_relevance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senior Data Scientist,威摩科技股份有限公司,3年以上,https://www.104.com.tw/company/1a2x6bjhm7,https://www.104.com.tw/job/694d1?jobsource=jolist_b_relevance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Strategic CTO (data driven software company),台灣米高蒲志國際股份有限公司,10年以上,https://www.104.com.tw/company/1a2x6bj0p0,https://www.104.com.tw/job/6ycss?jobsource=jolist_b_relevance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Project Manager,威朋大數據股份有限公司,5年以上,https://www.104.com.tw/company/d9tnh1s,https://www.104.com.tw/job/6uakg?jobsource=jolist_b_relevance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(Senior) Data Analyst,Shopline Limited_商線科技股份有限公司,3年以上,https://www.104.com.tw/company/1a2x6bj96b,https://www.104.com.tw/job/5n0m3?jobsource=jolist_b_relevance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Scientist/Engineer (Data Science Team),大聯大投資控股股份有限公司,2年以上,https://www.104.com.tw/company/ctvszsw,https://www.104.com.tw/job/6cv1g?jobsource=jolist_b_relevance,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(Associate) Data Team Lead (Taipei),IQVIA_艾昆緯股份有限公司,3年以上,https://www.104.com.tw/company/12xvoi74,https://www.104.com.tw/job/69zdt?jobsource=jolist_b_relevance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[KKLab] Data Scientist,願境網訊股份有限公司_KKBOX,不拘,https://www.104.com.tw/company/wca2vdk,https://www.104.com.tw/job/4wdr9?jobsource=jolist_b_relevance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sr. Clinical Data Coordinator (Taipei),IQVIA_艾昆緯股份有限公司,2年以上,https://www.104.com.tw/company/12xvoi74,https://www.104.com.tw/job/6vdlf?jobsource=jolist_b_relevance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sr Big Data Processing Engineer (Spark),台灣現觀股份有限公司,1年以上,https://www.104.com.tw/company/1a2x6bkzym,https://www.104.com.tw/job/6qf83?jobsource=jolist_b_relevance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senior Data Engineer,威朋大數據股份有限公司,不拘,https://www.104.com.tw/company/d9tnh1s,https://www.104.com.tw/job/6k4z6?jobsource=jolist_b_relevance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
台北總公司 全職 資深CRM / DATA 分析專員 SENIOR CRM / DATA ANALYST,法商家樂福總公司_家福股份有限公司,3年以上,https://www.104.com.tw/company/aesp3hv,https://www.104.com.tw/job/6wdap?jobsource=jolist_b_relevance,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Engineer (DED #231),孚創雲端股份有限公司,1年以上,https://www.104.com.tw/company/1a2x6bj41h,https://www.104.com.tw/job/687h2?jobsource=jolist_b_relevance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Data Analyst 資料分析師,核桃運算股份有限公司,不拘,https://www.104.com.tw/company/1a2x6biwtm,https://www.104.com.tw/job/46yog?jobsource=jolist_b_relevance,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Intern,Data Analysis  and Administration ",英屬百慕達商美國再保險股份有限公司台灣分公司,不拘,https://www.104.com.tw/company/cu81694,https://www.104.com.tw/job/6oack?jobsource=jolist_b_relevance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cloud Support Engineer – Big Data,Amazon Web Services Taiwan Limited_台灣亞馬遜網路服務有限公司,5年以上,https://www.104.com.tw/company/1a2x6bjevl,https://www.104.com.tw/job/6hr9b?jobsource=jolist_b_relevance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(Associate) Data Team Lead Manager (Taipei),IQVIA_艾昆緯股份有限公司,6年以上,https://www.104.com.tw/company/12xvoi74,https://www.104.com.tw/job/69zdw?jobsource=jolist_b_relevance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senior Data Architect_軟體工程發展暨管理部 (台北),台達電子工業股份有限公司 _DELTA ELECTRONICS INC.,8年以上,https://www.104.com.tw/company/fn5mtmo,https://www.104.com.tw/job/6n226?jobsource=jolist_b_relevance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AI Machine Learning/Deep Learning Data Scientist_Delta Research Center (Taipei),台達電子工業股份有限公司 _DELTA ELECTRONICS INC.,不拘,https://www.104.com.tw/company/fn5mtmo,https://www.104.com.tw/job/5re6t?jobsource=jolist_b_relevance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(智能金融處)Director of Data Science,玉山銀行_玉山商業銀行股份有限公司,8年以上,https://www.104.com.tw/company/13quahyo,https://www.104.com.tw/job/6rp6v?jobsource=jolist_b_relevance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
數據工程師 Data Engineer,威朋大數據股份有限公司,不拘,https://www.104.com.tw/company/d9tnh1s,https://www.104.com.tw/job/5dbhe?jobsource=jolist_b_relevance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Summer Intern: Data Engineer (DED #416),孚創雲端股份有限公司,不拘,https://www.104.com.tw/company/1a2x6bj41h,https://www.104.com.tw/job/6y9hu?jobsource=jolist_b_relevance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senior IT Engineer - Global Data Center Operations,Qualcomm Semiconductor Corporation_高通半導體有限公司,5年以上,https://www.104.com.tw/company/1a2x6bl08x,https://www.104.com.tw/job/6tv4w?jobsource=jolist_b_relevance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
